,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories
9205,zxUZPyf3PlovJhZ6fHcMTA,TOMS,"1231 W Burnside St, Ste 125",Portland,OR,97209,45.5230689,-122.6836719,4.5,16,"Food, Shopping, Shoe Stores, Coffee & Tea, Fashion, Accessories"
9482,zoRFlCz61C9_kxbHuIOR2A,Wild Alaskan Coffee Company,5124 SE 17th Ave,Portland,OR,97202,45.4859741469,-122.6483478161,3.5,7,"Restaurants, Breakfast & Brunch, Food, Coffee & Tea"
8016,zkz1nksuZJwmtYeQTgLYUQ,Toast La Tea,"2446 SE 87th Ave, Ste 105",Portland,OR,97216,45.5051128,-122.5738836,3.5,88,"Juice Bars & Smoothies, Food, Bubble Tea, Bakeries, Desserts, Coffee & Tea"
4620,zRGUCEfESzZiDoTBStZxuw,Black Rock Coffee,14423 SE McLoughlin Blvd,Portland,OR,97267,45.4185097,-122.633226,3.5,19,"Coffee & Tea, Food"
7414,zMXBp58O-IZbDKlisrhzLQ,Ding Tea PSU,536 SW College St,Portland,OR,97201,45.5093862,-122.6831587,4.0,24,"Juice Bars & Smoothies, Coffee & Tea, Food, Bubble Tea, Restaurants, Taiwanese"
10096,zJlybd_5M7L-IpHPR--1Lw,Heart,5181 SE Woodstock Blvd,Portland,OR,97206,45.4793793272,-122.6088511571,3.5,55,"Food, Coffee & Tea, Coffee Roasteries"
7422,zH6X_65zDYTmqrMfBd6yyg,Starbucks,7737 SW Capitol Hwy,Portland,OR,97219,45.468552,-122.7115024,3.5,34,"Coffee & Tea, Food"
1615,zGTyQRiW76VObjM9oSLKqA,Zeus Café,303 SW 12th Ave,Portland,OR,97209,45.5227248616,-122.683397457,3.5,356,"Cafes, Event Planning & Services, Hotels & Travel, Bars, Breakfast & Brunch, Hotels, Nightlife, Restaurants"
5270,zEUh1dJA9mMpV0-yOMeZIA,Urban Grind Coffeehouse & Roasters,911 NW 14th Ave,Portland,OR,97209,45.5294556,-122.6855059,3.5,111,"Food, Desserts, Venues & Event Spaces, Coffee & Tea, Coffee Roasteries, Beer, Wine & Spirits, Event Planning & Services, Specialty Food"
10887,z6aMvwRopS3fZ3P-t2wPhw,Heart,1123 SW Washington St,Portland,OR,97205,45.5219662,-122.6829152,3.5,55,"Coffee Roasteries, Food"
4020,z6F-lEVWR-bQkOPGi1jgSg,Howl 'n Growl,"2010 NW Front Ave, Ste A",Portland,OR,97209,45.5378878087,-122.6885549953,4.5,18,"Tapas/Small Plates, Beer, Wine & Spirits, Bars, Food, Sandwiches, Coffee & Tea, Restaurants, Beer Bar, Gastropubs, Breakfast & Brunch, Nightlife"
8544,yz6CUgUeB61fD7O_BHjL8Q,Green Beans Coffee and Tea,2327 E Burnside St,Portland,OR,97214,45.5230551,-122.6417661,4.0,53,"Coffee & Tea, Food"
